id	node1	label	node2
P117-alias-en-1	P117	alias	'crystallographic structure'@en
P117-alias-en-3	P117	alias	'image of chemical structure'@en
P117-alias-en-2	P117	alias	'structural formula'@en
P127-alias-en-10	P127	alias	'belonged to'@en
P127-alias-en-3	P127	alias	'belongs to'@en
P127-alias-en-1	P127	alias	'is owned by'@en
P127-alias-en-2	P127	alias	'owner'@en
P127-alias-en-8	P127	alias	'owners'@en
P127-alias-en-9	P127	alias	'provenance'@en
P127-alias-en-4	P127	alias	'shareholder'@en
P127-alias-en-6	P127	alias	'shareholders'@en
P127-alias-en-5	P127	alias	'stockholder'@en
P127-alias-en-7	P127	alias	'stockholders'@en
P1296-alias-en-3	P1296	alias	'Catalan encyclopedia ID'@en
P1296-alias-en-2	P1296	alias	'Enciclopèdia Catalana ID'@en
P1296-alias-en-1	P1296	alias	'GEC ID'@en
P1296-alias-en-gb-1	P1296	alias	'GEC ID'@en-gb
P1296-alias-en-4	P1296	alias	'GrEC ID'@en
P1417-alias-en-2	P1417	alias	'Britannica ID'@en
P1417-alias-en-1	P1417	alias	'Britannica online ID'@en
P1417-alias-en-5	P1417	alias	'EB ID'@en
P1417-alias-en-6	P1417	alias	'EBID'@en
P1417-alias-en-3	P1417	alias	'Encyclopaedia Britannica Online ID'@en
P1417-alias-en-4	P1417	alias	'Encyclopedia Britannica Online ID'@en
P154-alias-en-3	P154	alias	'insignia'@en
P154-alias-en-7	P154	alias	'logo'@en
P154-alias-en-2	P154	alias	'logomark'@en
P154-alias-en-6	P154	alias	'mark'@en
P154-alias-en-1	P154	alias	'marque'@en
P154-alias-en-4	P154	alias	'sign'@en
P154-alias-en-8	P154	alias	'trademark'@en
P154-alias-en-5	P154	alias	'wordmark'@en
P1579-alias-en-1	P1579	alias	'Beilstein Registry Number'@en
P17-alias-en-4	P17	alias	'host country'@en
P17-alias-en-3	P17	alias	'land'@en
P17-alias-en-ca-4	P17	alias	'land'@en-ca
P17-alias-en-ca-2	P17	alias	'nation'@en-ca
P17-alias-en-gb-2	P17	alias	'nation'@en-gb
P17-alias-en-1	P17	alias	'sovereign state'@en
P17-alias-en-ca-1	P17	alias	'sovereign state'@en-ca
P17-alias-en-gb-1	P17	alias	'sovereign state'@en-gb
P17-alias-en-2	P17	alias	'state'@en
P17-alias-en-ca-3	P17	alias	'state'@en-ca
P17-alias-en-gb-3	P17	alias	'state'@en-gb
P176-alias-en-5	P176	alias	'builder'@en
P176-alias-en-4	P176	alias	'built by'@en
P176-alias-en-6	P176	alias	'made by'@en
P176-alias-en-2	P176	alias	'maker'@en
P176-alias-en-gb-1	P176	alias	'maker'@en-gb
P176-alias-en-1	P176	alias	'manufactured by'@en
P176-alias-en-3	P176	alias	'mfr'@en
P176-alias-en-7	P176	alias	'producer (of product)'@en
P176-alias-en-8	P176	alias	'product of'@en
P18-alias-en-9	P18	alias	'Commons image'@en
P18-alias-en-11	P18	alias	'Image on Commons'@en
P18-alias-en-12	P18	alias	'Image on Wikimedia Commons'@en
P18-alias-en-7	P18	alias	'diagram'@en
P18-alias-en-ca-6	P18	alias	'diagram'@en-ca
P18-alias-en-gb-6	P18	alias	'diagram'@en-gb
P18-alias-en-5	P18	alias	'drawing'@en
P18-alias-en-ca-5	P18	alias	'drawing'@en-ca
P18-alias-en-gb-5	P18	alias	'drawing'@en-gb
P18-alias-en-16	P18	alias	'graph'@en
P18-alias-en-3	P18	alias	'illustration'@en
P18-alias-en-ca-4	P18	alias	'illustration'@en-ca
P18-alias-en-gb-4	P18	alias	'illustration'@en-gb
P18-alias-en-15	P18	alias	'image capture'@en
P18-alias-en-1	P18	alias	'image of exterior'@en
P18-alias-en-8	P18	alias	'img'@en
P18-alias-en-ca-7	P18	alias	'img'@en-ca
P18-alias-en-gb-7	P18	alias	'img'@en-gb
P18-alias-en-6	P18	alias	'photo'@en
P18-alias-en-ca-2	P18	alias	'photo'@en-ca
P18-alias-en-gb-2	P18	alias	'photo'@en-gb
P18-alias-en-4	P18	alias	'picture'@en
P18-alias-en-ca-1	P18	alias	'picture'@en-ca
P18-alias-en-gb-1	P18	alias	'picture'@en-gb
P18-alias-en-2	P18	alias	'portrait'@en
P18-alias-en-ca-3	P18	alias	'portrait'@en-ca
P18-alias-en-gb-3	P18	alias	'portrait'@en-gb
P18-alias-en-14	P18	alias	'screen capture'@en
P18-alias-en-10	P18	alias	'screenshot'@en
P18-alias-en-13	P18	alias	'still'@en
P1889-alias-en-22	P1889	alias	'!='@en
P1889-alias-en-23	P1889	alias	'<>'@en
P1889-alias-en-12	P1889	alias	'confused with'@en
P1889-alias-en-1	P1889	alias	'different than'@en
P1889-alias-en-2	P1889	alias	'different to'@en
P1889-alias-en-16	P1889	alias	'differs from'@en
P1889-alias-en-10	P1889	alias	'disambiguated from'@en
P1889-alias-en-4	P1889	alias	'distinct from'@en
P1889-alias-en-8	P1889	alias	'distinguished from'@en
P1889-alias-en-19	P1889	alias	'do not merge'@en
P1889-alias-en-20	P1889	alias	'don\\\\'t merge'@en
P1889-alias-en-13	P1889	alias	'is different from'@en
P1889-alias-en-3	P1889	alias	'is not'@en
P1889-alias-en-7	P1889	alias	'isn\\\\'t'@en
P1889-alias-en-14	P1889	alias	'mistakenly taken for'@en
P1889-alias-en-11	P1889	alias	'not same as'@en
P1889-alias-en-5	P1889	alias	'not the same as'@en
P1889-alias-en-21	P1889	alias	'not to be confused with'@en
P1889-alias-en-6	P1889	alias	'not'@en
P1889-alias-en-17	P1889	alias	'often confused with'@en
P1889-alias-en-18	P1889	alias	'rejected match'@en
P1889-alias-en-9	P1889	alias	'see also'@en
P1889-alias-en-15	P1889	alias	'to be distinguished from'@en
P1889-alias-en-24	P1889	alias	'≠'@en
P1924-alias-en-1	P1924	alias	'target disease'@en
P2002-alias-en-3	P2002	alias	'Twitter account'@en
P2002-alias-en-gb-1	P2002	alias	'Twitter account'@en-gb
P2002-alias-en-4	P2002	alias	'Twitter handle'@en
P2002-alias-en-gb-2	P2002	alias	'Twitter handle'@en-gb
P2002-alias-en-5	P2002	alias	'Twitter'@en
P2002-alias-en-2	P2002	alias	'Twitter.com account'@en
P2002-alias-en-1	P2002	alias	'Twitter.com username'@en
P2013-alias-en-2	P2013	alias	'FB.com profile'@en
P2013-alias-en-3	P2013	alias	'Facebook profile ID'@en
P2013-alias-en-gb-1	P2013	alias	'Facebook profile'@en-gb
P2013-alias-en-1	P2013	alias	'Facebook.com profile'@en
P2017-alias-en-1	P2017	alias	'iso-SMILES'@en
P2067-alias-en-4	P2067	alias	'atomic mass'@en
P2067-alias-en-ca-2	P2067	alias	'atomic mass'@en-ca
P2067-alias-en-6	P2067	alias	'atomic weight'@en
P2067-alias-en-2	P2067	alias	'displacement'@en
P2067-alias-en-ca-4	P2067	alias	'displacement'@en-ca
P2067-alias-en-3	P2067	alias	'mass'@en
P2067-alias-en-7	P2067	alias	'molar mass'@en
P2067-alias-en-ca-3	P2067	alias	'molar mass'@en-ca
P2067-alias-en-5	P2067	alias	'molecular mass'@en
P2067-alias-en-1	P2067	alias	'weight'@en
P2067-alias-en-ca-1	P2067	alias	'weight'@en-ca
P2067-alias-en-gb-1	P2067	alias	'weight'@en-gb
P2175-alias-en-5	P2175	alias	'capable of inhibiting or preventing pathological process'@en
P2175-alias-en-gb-5	P2175	alias	'capable of inhibiting or preventing pathological process'@en-gb
P2175-alias-en-1	P2175	alias	'disease treated'@en
P2175-alias-en-gb-1	P2175	alias	'disease treated'@en-gb
P2175-alias-en-4	P2175	alias	'treats disease'@en
P2175-alias-en-gb-4	P2175	alias	'treats disease'@en-gb
P2175-alias-en-3	P2175	alias	'treats medical condition'@en
P2175-alias-en-gb-3	P2175	alias	'treats medical condition'@en-gb
P2175-alias-en-2	P2175	alias	'treats'@en
P2175-alias-en-gb-2	P2175	alias	'treats'@en-gb
P2275-alias-en-1	P2275	alias	'WHO INN'@en
P2284-alias-en-6	P2284	alias	'MSRP'@en
P2284-alias-en-3	P2284	alias	'cost'@en
P2284-alias-en-5	P2284	alias	'exchange rate'@en
P2284-alias-en-1	P2284	alias	'list price'@en
P2284-alias-en-2	P2284	alias	'published price'@en
P2284-alias-en-4	P2284	alias	'purchase price'@en
P2284-alias-en-7	P2284	alias	'value'@en
P231-alias-en-2	P231	alias	'CAS Number'@en
P231-alias-en-1	P231	alias	'CASRN'@en
P232-alias-en-1	P232	alias	'EC No.'@en
